clients number,round,training_loss,training_accuracy
3,0,1.1130541563034058,0.5
3,1,0.07941076904535294,1.0
3,2,0.15510350465774536,1.0
3,3,0.07474399358034134,1.0
3,4,0.07037751376628876,1.0
3,5,0.05478547513484955,1.0
3,6,0.04775553569197655,1.0
3,7,0.043053366243839264,1.0
3,8,0.037583377212285995,1.0
3,9,0.034345101565122604,1.0
3,10,0.03150014579296112,1.0
