clients number,round,training_loss,training_accuracy
2,0,1.761213779449463,0.5
2,1,0.32420653104782104,1.0
2,2,0.17616580426692963,1.0
2,3,0.23856046795845032,1.0
2,4,0.20465369522571564,1.0
2,5,0.18485982716083527,1.0
2,6,0.16561530530452728,1.0
2,7,0.1539386510848999,1.0
2,8,0.14803871512413025,1.0
2,9,0.14235258102416992,1.0
2,10,0.13804611563682556,1.0
