clients number,round,training_loss,training_accuracy
2,0,0.6434615254402161,1.0
2,1,0.3967415392398834,0.5
2,2,0.2916434705257416,1.0
2,3,0.21645177900791168,1.0
2,4,0.21695488691329956,1.0
2,5,0.1980818659067154,1.0
2,6,0.1524697244167328,1.0
2,7,0.15637579560279846,1.0
2,8,0.16798710823059082,1.0
2,9,0.17700524628162384,1.0
2,10,0.1971961408853531,1.0
